GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
0400000US01,01,Alabama,1841217,10615,59464,699,72.4,0.4,62257,768,16.1,0.4,11759,1131,34.9,0.4,17071,165,6.8,0.3,8875,217,1.7,0.1,2234,233,20.8,0.4,22255,1195,1232515,11755,70962,924,19.2,0.4,39037,2141,36.0,0.6,57796,1868,28.5,0.6,100066,2040,9.1,0.5,65727,2489,5.6,0.3,118884,4328,1.7,0.2,92026,7847,4849377,*****,23606,256,68.5,0.1,26960,320,26.6,0.2,16240,430,0.5,0.1,23404,4978,1.2,0.1,25998,3366,0.0,0.1,36254,26164,1.4,0.1,10944,1594,1.8,0.1,13123,1817,4.0,0.1,15168,1264,66.1,0.1,27283,319,34.2,(X),(X),(X),35.3,(X),(X),(X),27.2,(X),(X),(X)
0400000US02,02,Alaska,249659,2978,89094,2252,86.6,0.8,85771,2487,43.9,1.5,7956,918,20.0,0.7,16504,485,4.4,0.5,9289,669,5.5,0.4,4202,438,19.0,1.0,26835,1505,165015,3765,98975,2717,9.3,1.0,48059,4322,32.4,1.6,69081,2846,38.0,1.7,122797,5848,8.3,0.8,94376,5929,9.3,0.9,154043,8720,2.7,0.7,124145,15138,736732,*****,33062,758,65.6,0.4,40040,1102,3.4,0.3,24448,4652,14.0,0.4,17771,921,6.0,0.3,23032,2137,1.1,0.2,17759,3299,1.4,0.3,26827,6004,8.5,0.6,17925,1605,6.7,0.1,22029,1933,61.8,0.1,41142,1146,28.9,(X),(X),(X),29.2,(X),(X),(X),24.0,(X),(X),(X)
0400000US04,04,Arizona,2428743,11353,68103,648,74.3,0.3,69113,723,19.6,0.3,20508,1351,33.0,0.3,18842,144,4.3,0.2,9662,231,2.2,0.1,2659,197,19.9,0.3,24089,576,1579481,13962,78549,963,19.4,0.5,50044,1844,34.8,0.6,64524,1507,27.4,0.5,109254,1811,9.5,0.4,67853,2161,6.3,0.3,123509,3774,2.6,0.2,86220,4424,6731484,*****,25715,244,78.3,0.4,28025,289,4.2,0.1,19557,842,4.4,0.1,12495,628,3.2,0.1,31176,1953,0.2,0.1,13436,2513,6.4,0.3,14425,610,3.3,0.2,13840,1097,30.5,*****,14792,324,56.1,0.1,33099,373,32.7,(X),(X),(X),33.1,(X),(X),(X),27.0,(X),(X),(X)
0400000US05,05,Arkansas,1131288,8373,57693,1098,73.5,0.6,59615,1353,16.3,0.4,15291,2573,35.4,0.5,17124,200,6.8,0.3,9034,217,2.3,0.2,2932,315,18.2,0.5,18678,621,752212,9854,68411,1546,18.6,0.6,38685,2177,35.4,0.8,55560,2437,30.7,0.7,95751,3260,8.2,0.5,62529,3460,5.3,0.4,105861,5855,1.8,0.2,78172,5398,2966369,*****,22883,409,78.3,0.2,24750,467,15.8,0.2,15202,584,0.6,0.1,22221,3942,1.2,0.1,34785,6545,0.2,0.1,11345,2806,1.7,0.2,13742,1983,2.2,0.2,13272,1782,6.9,0.1,12530,860,73.4,0.1,25587,505,29.3,(X),(X),(X),29.8,(X),(X),(X),23.3,(X),(X),(X)
0400000US06,06,California,12758648,18835,88595,345,80.4,0.1,88997,392,21.3,0.2,26380,649,26.7,0.1,17435,86,6.2,0.1,9628,101,3.8,0.1,4414,80,15.8,0.1,29230,354,8762059,27318,98670,466,12.9,0.2,51503,770,34.4,0.2,79206,846,28.2,0.2,139708,1090,11.5,0.1,80998,1187,8.5,0.1,136600,1648,4.5,0.1,99286,1341,38802500,*****,30441,107,61.4,0.1,34356,146,5.8,0.1,23333,418,0.7,0.1,20091,873,13.9,0.1,34524,387,0.4,0.1,23740,2146,13.2,0.1,15615,208,4.6,0.1,19537,518,38.6,*****,16395,112,38.3,0.1,44871,213,32.6,(X),(X),(X),33.2,(X),(X),(X),25.3,(X),(X),(X)
0400000US08,08,Colorado,2039592,7530,82295,867,82.1,0.3,81259,846,23.7,0.5,20851,1230,24.7,0.3,17586,197,3.4,0.2,9489,306,2.3,0.2,3254,290,16.2,0.3,27762,713,1315283,8405,96931,1273,12.2,0.3,56084,2176,31.9,0.6,79178,2675,36.6,0.6,121346,2044,9.2,0.4,81528,3040,7.9,0.3,135197,5768,2.3,0.2,101472,6553,5355866,*****,32357,350,84.4,0.3,34428,407,4.0,0.1,22141,1997,1.0,0.1,18579,1602,2.9,0.1,29612,1962,0.1,0.1,27334,13455,4.0,0.3,16823,997,3.4,0.2,18359,1701,21.2,*****,17241,350,68.8,0.1,38222,471,28.3,(X),(X),(X),28.7,(X),(X),(X),23.5,(X),(X),(X)
0400000US09,09,Connecticut,1355817,6673,100948,1353,79.0,0.4,102995,1443,27.7,0.5,24414,2047,30.0,0.4,19067,223,4.4,0.3,9435,307,3.5,0.3,4477,349,18.2,0.4,27683,1042,887263,10002,121975,1752,12.2,0.5,59787,3740,31.3,0.8,101861,4125,33.1,0.7,158290,3393,10.1,0.5,99270,5140,10.3,0.5,162571,4649,3.1,0.3,121796,10694,3596677,*****,39373,526,76.8,0.3,43973,656,10.3,0.2,22865,1052,0.2,0.1,20556,4643,4.2,0.1,40362,2066,0.0,0.1,N,N,5.5,0.3,16836,1294,2.9,0.2,18312,1741,15.0,*****,19644,882,68.6,0.1,46575,689,31.9,(X),(X),(X),32.5,(X),(X),(X),25.8,(X),(X),(X)
0400000US10,10,Delaware,349743,3705,78773,2040,77.4,0.9,78794,2325,22.3,1.0,13565,1615,33.5,0.8,19500,380,4.2,0.5,11069,962,2.5,0.4,2394,439,23.8,0.9,27120,2051,233000,4645,91131,2862,16.8,1.0,51861,2720,31.6,1.4,67754,4047,28.5,1.4,124548,5105,11.1,1.1,83274,10024,9.5,0.9,141391,7122,2.6,0.5,113063,15744,935614,*****,30488,712,69.2,0.4,34001,898,21.7,0.4,22961,1269,0.4,0.1,27067,7574,3.9,0.1,32971,2785,0.0,0.1,N,N,2.2,0.4,15601,2076,2.6,0.4,9364,1645,8.9,*****,18331,1269,63.5,0.1,35232,917,37.7,(X),(X),(X),37.4,(X),(X),(X),29.9,(X),(X),(X)
0400000US11,11,District of Columbia,277378,3304,103525,2816,79.6,1.1,110781,3025,23.4,1.2,23020,5006,18.7,0.9,14679,634,5.8,0.7,8688,622,3.7,0.6,3258,397,14.1,0.8,40494,3475,117864,3359,125324,4501,14.5,1.7,48631,10826,34.1,2.3,88083,8789,33.2,2.0,203801,10093,12.0,1.4,97292,13244,3.0,0.8,174020,25636,3.2,0.7,116099,20508,658893,*****,45877,1138,40.2,0.6,72754,2367,48.8,0.4,26602,1092,0.3,0.1,37391,21338,3.8,0.2,48105,6633,0.0,0.1,N,N,4.4,0.7,18308,2745,2.5,0.4,35323,6217,10.4,*****,32817,3428,35.7,0.1,76392,2443,30.5,(X),(X),(X),34.0,(X),(X),(X),28.0,(X),(X),(X)
0400000US12,12,Florida,7328046,25793,67510,426,72.2,0.2,67668,504,20.5,0.2,25400,740,36.6,0.2,18420,85,5.0,0.1,9310,159,2.2,0.1,2745,132,19.2,0.2,25361,503,4693411,24879,79196,626,20.5,0.3,54464,1172,34.5,0.4,66764,1094,27.2,0.3,106554,1327,9.2,0.2,69286,1730,6.0,0.2,120729,2561,2.6,0.1,92442,4053,19893297,*****,26582,166,76.0,0.1,29433,207,16.2,0.1,16410,278,0.3,0.1,20292,2632,2.6,0.1,27859,1286,0.1,0.1,22292,7923,2.5,0.1,16341,661,2.4,0.1,14847,912,24.1,*****,18919,278,55.6,0.1,33043,261,34.0,(X),(X),(X),34.2,(X),(X),(X),27.7,(X),(X),(X)
