GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32
Id,Id2,Geography,Total; Estimate; HOUSEHOLD INCOME - All households,Total; Margin of Error; HOUSEHOLD INCOME - All households,Mean income (dollars); Estimate; HOUSEHOLD INCOME - All households,Mean income (dollars); Margin of Error; HOUSEHOLD INCOME - All households,Total; Estimate; HOUSEHOLD INCOME - All households - With earnings,Total; Margin of Error; HOUSEHOLD INCOME - All households - With earnings,Mean income (dollars); Estimate; HOUSEHOLD INCOME - All households - With earnings,Mean income (dollars); Margin of Error; HOUSEHOLD INCOME - All households - With earnings,"Total; Estimate; HOUSEHOLD INCOME - All households - With interest, dividends, or net rental income","Total; Margin of Error; HOUSEHOLD INCOME - All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; HOUSEHOLD INCOME - All households - With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; HOUSEHOLD INCOME - All households - With interest, dividends, or net rental income",Total; Estimate; HOUSEHOLD INCOME - All households - With Social Security income,Total; Margin of Error; HOUSEHOLD INCOME - All households - With Social Security income,Mean income (dollars); Estimate; HOUSEHOLD INCOME - All households - With Social Security income,Mean income (dollars); Margin of Error; HOUSEHOLD INCOME - All households - With Social Security income,Total; Estimate; HOUSEHOLD INCOME - All households - With Supplemental Security Income (SSI),Total; Margin of Error; HOUSEHOLD INCOME - All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; HOUSEHOLD INCOME - All households - With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; HOUSEHOLD INCOME - All households - With Supplemental Security Income (SSI),Total; Estimate; HOUSEHOLD INCOME - All households - With cash public assistance income,Total; Margin of Error; HOUSEHOLD INCOME - All households - With cash public assistance income,Mean income (dollars); Estimate; HOUSEHOLD INCOME - All households - With cash public assistance income,Mean income (dollars); Margin of Error; HOUSEHOLD INCOME - All households - With cash public assistance income,Total; Estimate; HOUSEHOLD INCOME - All households - With retirement income,Total; Margin of Error; HOUSEHOLD INCOME - All households - With retirement income,Mean income (dollars); Estimate; HOUSEHOLD INCOME - All households - With retirement income,Mean income (dollars); Margin of Error; HOUSEHOLD INCOME - All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Hispanic or Latino origin (of any race),Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Hispanic or Latino origin (of any race),"Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - White alone, not Hispanic or Latino","Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - White alone, not Hispanic or Latino","Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - White alone, not Hispanic or Latino",Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
0400000US01,01,Alabama,1816313,9214,55552,687,76.2,0.4,56710,701,19.0,0.5,13946,1472,31.5,0.4,13524,141,5.9,0.3,6692,139,1.2,0.1,2483,335,19.7,0.3,18730,698,1245126,10267,65505,895,16.1,0.4,35318,1534,34.3,0.6,52545,1631,32.1,0.6,86419,1478,8.7,0.4,61119,2835,6.9,0.4,106017,4698,1.9,0.2,75458,5009,4627851,*****,22366,258,70.3,0.1,25637,316,26.2,0.1,14249,348,0.4,0.1,17970,2641,1.0,0.1,27773,3386,0.0,0.1,N,N,0.7,0.1,12866,1582,1.3,0.1,12331,1395,2.6,0.1,12934,1253,68.6,0.1,25935,323,26.2,(X),(X),(X),26.9,(X),(X),(X),19.8,(X),(X),(X)
0400000US02,02,Alaska,236421,2731,78765,2445,88.3,0.7,75104,2562,46.7,1.4,6434,958,17.2,0.7,13735,456,3.2,0.4,6906,783,6.1,0.6,4042,518,17.0,0.9,26687,1667,162345,3643,88525,3203,7.3,0.7,44517,4339,28.2,1.8,63348,4168,41.0,1.7,104518,5613,9.4,1.0,78438,10694,10.6,1.1,128258,8488,3.4,0.6,102356,12286,683478,*****,28891,756,68.1,0.4,33917,1059,3.8,0.3,25114,3673,13.5,0.5,16078,1379,4.8,0.3,23785,2352,0.7,0.2,14583,3561,2.3,0.4,16514,2477,6.9,0.6,15473,2196,5.6,0.1,16721,1418,66.0,0.1,34347,1082,22.4,(X),(X),(X),23.5,(X),(X),(X),17.3,(X),(X),(X)
0400000US04,04,Arizona,2251546,9458,66132,670,78.9,0.3,66280,684,23.5,0.4,16358,1009,28.1,0.3,15066,122,3.0,0.2,8183,286,1.8,0.2,3122,346,18.8,0.3,22456,655,1491772,13954,75786,845,16.0,0.4,47862,1715,33.3,0.6,60037,1588,31.0,0.6,101219,1617,9.3,0.4,65970,2650,7.7,0.4,109332,2669,2.7,0.2,82464,4421,6338755,*****,24811,239,76.4,0.3,27568,310,3.5,0.1,19216,1054,4.4,0.1,12319,642,2.4,0.1,28924,1930,0.1,0.1,30375,6377,10.7,0.3,14038,418,2.4,0.2,12193,1143,29.7,0.1,14027,285,58.8,0.1,31532,389,25.5,(X),(X),(X),26.1,(X),(X),(X),20.4,(X),(X),(X)
0400000US05,05,Arkansas,1102734,8133,51748,824,76.2,0.5,52937,915,20.2,0.5,12236,1400,32.3,0.4,13702,173,4.9,0.4,6456,264,1.6,0.2,2193,338,17.4,0.5,16843,826,756113,10348,60879,1106,16.0,0.6,35165,1385,32.2,1.0,49341,2397,35.3,0.8,77692,1568,7.8,0.5,54128,3388,7.0,0.5,92716,3254,1.7,0.2,73827,8701,2834797,*****,20708,335,78.6,0.2,22833,416,15.6,0.2,12896,526,0.6,0.1,17204,2688,1.2,0.1,21192,4230,0.1,0.1,9278,4981,2.3,0.2,9295,946,1.7,0.2,10790,1548,5.2,0.1,11237,840,75.9,0.1,23170,425,24.6,(X),(X),(X),24.6,(X),(X),(X),18.9,(X),(X),(X)
0400000US06,06,California,12200672,20297,81939,347,82.4,0.2,81989,381,25.4,0.2,21225,462,23.5,0.1,14258,69,5.0,0.1,8864,101,3.0,0.1,5265,122,15.4,0.1,23275,305,8330684,27121,91156,488,11.6,0.2,48295,959,32.5,0.2,72598,939,31.2,0.3,120644,857,10.8,0.2,76542,1131,9.5,0.2,125513,1810,4.3,0.1,94498,1956,36553215,*****,28678,118,60.3,0.2,33361,186,6.2,0.1,21995,381,0.7,0.1,23728,1150,12.3,0.1,30501,359,0.3,0.1,22814,1690,16.7,0.2,15583,177,3.5,0.1,17323,619,36.2,*****,15578,139,42.5,0.1,40750,236,26.9,(X),(X),(X),27.4,(X),(X),(X),20.6,(X),(X),(X)
0400000US08,08,Colorado,1859965,9746,73037,776,84.7,0.4,71082,727,27.3,0.5,17232,1372,20.6,0.3,14164,189,2.9,0.2,7566,283,1.7,0.2,3142,311,15.4,0.4,24164,877,1202485,10691,85583,1126,10.1,0.4,49972,2333,30.5,0.6,67954,2161,40.3,0.7,103436,1664,8.3,0.4,73191,4019,8.9,0.4,116521,3374,1.8,0.2,87486,6347,4861515,*****,29133,294,83.5,0.3,31205,369,3.9,0.1,19454,1032,0.9,0.1,19464,1937,2.7,0.1,25900,1736,0.1,0.1,20299,5623,6.2,0.3,15887,653,2.6,0.1,15988,1417,19.9,*****,14985,370,71.2,0.1,34060,398,21.0,(X),(X),(X),20.8,(X),(X),(X),17.0,(X),(X),(X)
0400000US09,09,Connecticut,1320714,5183,92686,1183,81.8,0.4,93458,1310,32.0,0.5,19748,1415,27.4,0.3,15774,162,3.5,0.3,7932,405,2.1,0.2,4108,500,18.0,0.4,21672,849,885471,7409,110072,1606,11.1,0.4,55924,3552,29.2,0.7,97504,3585,36.0,0.7,130605,2695,9.3,0.5,92606,5131,11.6,0.5,143724,4472,2.8,0.2,110585,9095,3502309,*****,35904,431,79.6,0.3,39400,523,9.4,0.1,21049,913,0.2,0.1,24898,5295,3.4,0.1,37931,3163,0.0,0.1,13477,12504,5.4,0.3,16920,1082,2.0,0.2,16167,1827,11.5,*****,18382,1066,74.0,0.1,40778,556,26.9,(X),(X),(X),27.0,(X),(X),(X),21.9,(X),(X),(X)
0400000US10,10,Delaware,328477,3041,71070,1703,80.3,0.8,71508,1992,25.9,1.0,11578,2065,28.8,0.8,15730,351,3.0,0.4,7192,595,1.7,0.4,3190,860,23.0,0.9,20985,903,224451,4325,81713,2299,13.0,0.8,45773,3579,32.4,1.6,61324,3929,33.1,1.4,104737,3318,9.4,0.9,71639,4560,9.9,0.8,126198,7486,2.2,0.5,93094,12046,864764,*****,27853,593,72.3,0.3,30908,751,20.3,0.4,19035,976,0.3,0.1,21762,7850,2.9,0.2,35509,3983,0.1,0.1,27023,9943,2.2,0.3,13043,2051,2.0,0.4,12194,2742,6.5,*****,14227,1606,68.5,0.1,31835,762,26.9,(X),(X),(X),27.2,(X),(X),(X),20.5,(X),(X),(X)
0400000US11,11,District of Columbia,251039,2911,88335,2593,81.1,1.2,89924,3058,26.8,1.1,23955,3987,18.7,0.9,12427,477,4.0,0.6,6907,622,4.1,0.7,3554,481,15.5,1.0,33499,2827,108181,3697,113122,5209,13.2,1.5,36493,5463,37.2,2.5,77940,9849,29.1,2.0,193358,14485,13.7,1.5,78711,9458,4.3,1.0,216113,57811,2.5,0.8,118065,31485,588292,*****,40379,1153,35.8,0.5,68797,2576,54.7,0.3,23803,1313,0.2,0.1,38829,8901,3.1,0.2,42360,6215,0.0,0.1,N,N,4.7,0.6,18221,2757,1.6,0.3,33177,7385,8.3,*****,25358,2734,32.3,0.1,72404,2765,27.2,(X),(X),(X),33.6,(X),(X),(X),24.9,(X),(X),(X)
