GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
0400000US01,01,Alabama,1822439,11200,59294,702,72.7,0.5,61741,786,16.6,0.4,12976,1175,34.6,0.4,16670,162,6.5,0.3,8703,245,2.0,0.2,2641,237,21.1,0.4,21964,656,1222568,14007,70447,900,18.9,0.5,37115,1299,36.3,0.6,59073,1828,28.9,0.6,98370,1709,8.8,0.4,65816,2792,5.5,0.3,117645,4715,1.7,0.2,80140,4685,4833722,*****,23384,260,68.9,0.2,26701,338,26.6,0.1,15772,328,0.5,0.1,23044,3712,1.2,0.1,26176,3016,0.0,0.1,21077,6849,1.1,0.1,12957,1456,1.7,0.1,12953,1483,3.9,0.1,12588,967,66.3,0.1,27223,340,33.9,(X),(X),(X),34.3,(X),(X),(X),27.0,(X),(X),(X)
0400000US02,02,Alaska,246015,2720,88758,2357,86.9,0.8,84481,2280,44.2,1.7,9589,1821,19.8,0.9,15334,568,4.1,0.7,8659,953,6.9,0.9,4136,360,19.7,1.0,26998,1778,165431,3617,101544,3206,7.4,0.8,68933,16024,30.2,1.7,78593,6045,39.3,1.7,118037,4183,10.3,1.1,92665,8846,10.0,1.0,138341,6067,2.8,0.5,104454,16268,735132,*****,32474,804,66.4,0.4,38553,965,3.4,0.3,28777,6680,14.3,0.5,17901,1593,5.7,0.3,24179,2395,1.2,0.1,14277,2185,1.3,0.3,27213,7267,7.7,0.7,18740,1856,6.6,*****,24588,2745,62.5,0.1,39343,1028,28.9,(X),(X),(X),30.0,(X),(X),(X),23.2,(X),(X),(X)
0400000US04,04,Arizona,2400809,11557,66389,685,74.9,0.4,67317,832,20.0,0.4,18015,1260,32.1,0.3,18303,152,4.1,0.2,9386,276,2.3,0.2,2990,215,19.6,0.3,24337,522,1572310,12708,76117,1010,19.9,0.5,45886,1518,35.9,0.6,63458,1945,27.0,0.5,106418,1926,8.6,0.4,69342,2605,6.3,0.3,118626,3890,2.3,0.2,87833,5320,6626624,*****,25164,272,79.0,0.3,27407,324,4.2,0.1,19005,903,4.4,0.1,12863,602,2.9,0.1,30161,1905,0.2,0.1,14745,3753,6.2,0.3,13492,568,3.2,0.2,13288,993,30.3,*****,13783,279,56.6,0.1,32620,426,32.6,(X),(X),(X),33.3,(X),(X),(X),26.2,(X),(X),(X)
0400000US05,05,Arkansas,1125899,6925,55547,819,73.1,0.6,57709,967,16.6,0.4,12703,1578,36.4,0.4,16728,189,7.0,0.3,8780,282,2.5,0.2,3285,423,16.9,0.4,18996,590,751124,10710,65578,1061,18.9,0.7,35594,1590,35.8,0.9,53356,1927,30.3,0.8,90556,2189,8.0,0.5,65828,4524,5.4,0.4,105180,3796,1.5,0.2,85603,10127,2959373,*****,21927,327,77.9,0.2,24153,391,15.7,0.1,13659,406,0.6,0.1,19553,3851,1.3,0.1,24927,3409,0.0,0.1,21048,10544,2.3,0.2,11335,1202,2.2,0.2,11776,1455,6.9,0.1,11436,771,73.6,0.1,24879,402,29.8,(X),(X),(X),30.7,(X),(X),(X),23.8,(X),(X),(X)
0400000US06,06,California,12650592,16944,85707,378,80.2,0.2,86145,370,21.9,0.1,24483,633,26.2,0.1,16897,81,6.2,0.1,9647,87,3.9,0.1,4738,105,15.6,0.2,28688,387,8645970,31516,95232,490,13.5,0.2,48922,914,34.5,0.3,76019,841,28.0,0.2,134574,1108,11.2,0.2,79920,1392,8.6,0.2,133964,1823,4.3,0.1,100802,2341,38332521,*****,29513,122,61.9,0.2,33346,191,5.9,0.1,23008,545,0.7,0.1,20337,1057,13.6,0.1,33336,358,0.4,0.1,20648,1565,12.9,0.2,14757,175,4.5,0.1,18452,578,38.4,*****,15650,118,38.8,0.1,43460,283,32.4,(X),(X),(X),33.2,(X),(X),(X),25.1,(X),(X),(X)
0400000US08,08,Colorado,2002800,8550,79381,754,82.5,0.4,77446,757,24.9,0.4,19995,1605,24.6,0.3,17362,193,3.4,0.2,9414,351,2.1,0.1,3516,427,16.4,0.3,27047,691,1279941,10970,93036,1023,11.5,0.4,54466,2601,33.6,0.7,75268,1869,36.9,0.7,116151,1821,8.8,0.4,82215,5517,7.3,0.4,130843,4104,2.0,0.2,94367,4970,5268367,*****,31421,362,83.8,0.3,33560,414,4.0,0.1,21180,1244,0.8,0.1,19761,2642,2.9,0.1,29833,2092,0.2,0.1,18463,5620,4.8,0.3,16432,931,3.6,0.2,17254,1096,21.0,*****,15987,306,69.1,0.1,37217,511,27.7,(X),(X),(X),28.0,(X),(X),(X),22.7,(X),(X),(X)
0400000US09,09,Connecticut,1339860,7005,97801,1502,78.9,0.4,100414,1595,27.9,0.5,21810,1682,30.3,0.4,18646,259,4.0,0.3,9516,367,3.2,0.3,4040,393,17.8,0.4,26581,1235,890293,9252,118345,2037,12.4,0.4,53847,2779,31.3,0.8,99513,3699,33.6,0.7,150411,3811,9.5,0.5,103608,5989,10.4,0.5,161494,6440,2.8,0.3,118751,7932,3596080,*****,37726,552,77.3,0.3,42180,667,10.3,0.2,21448,863,0.2,0.1,17983,3145,4.1,0.1,39607,3058,0.0,0.1,N,N,5.2,0.3,15157,1009,2.9,0.2,16056,2387,14.7,*****,17531,959,69.3,0.1,44660,717,31.7,(X),(X),(X),32.1,(X),(X),(X),25.9,(X),(X),(X)
0400000US10,10,Delaware,339071,3144,76995,1876,77.5,0.7,76529,2025,22.5,1.0,15637,2809,34.0,0.8,18647,440,4.4,0.5,10879,887,2.6,0.4,2868,603,24.0,0.9,23857,1688,228364,4558,89016,2278,16.3,0.9,52927,4490,32.6,1.6,68366,3878,30.3,1.5,117756,4512,10.3,1.2,83697,11814,7.8,0.8,144560,7622,2.6,0.5,92799,13390,925749,*****,29484,656,68.9,0.5,32274,821,21.6,0.5,23099,1403,0.4,0.1,16084,4304,3.6,0.1,38991,4457,0.1,0.1,38521,26287,2.5,0.4,16939,2668,2.9,0.5,11118,2328,8.7,*****,15527,1420,64.0,0.1,33536,860,34.6,(X),(X),(X),34.4,(X),(X),(X),27.7,(X),(X),(X)
0400000US11,11,District of Columbia,271651,3228,102882,3025,80.6,1.1,109271,3518,23.1,1.2,20779,3470,18.9,0.8,14520,589,5.7,0.7,8964,526,4.2,0.6,3444,386,14.5,0.7,38449,2759,120467,4214,126862,6095,15.0,1.7,34591,6307,36.9,2.1,86829,8646,30.4,1.5,222455,15478,12.1,1.5,94426,18330,3.6,0.8,217795,55172,2.1,0.6,133991,28322,646449,*****,45477,1235,40.9,0.7,73229,2561,48.8,0.5,23845,1118,0.2,0.1,38404,15581,3.6,0.2,46185,5462,0.0,0.1,N,N,3.4,0.7,27052,8291,3.2,0.5,40080,9089,10.1,*****,34017,5103,35.6,0.1,78379,2761,31.5,(X),(X),(X),35.4,(X),(X),(X),28.1,(X),(X),(X)
0400000US12,12,Florida,7211584,26752,65728,432,71.9,0.2,66331,471,21.3,0.2,23298,952,36.3,0.2,17861,93,5.0,0.1,9195,142,2.3,0.1,2749,136,19.3,0.2,24748,365,4626388,25285,76713,603,20.8,0.3,51575,1198,34.1,0.4,64113,1059,27.4,0.4,104148,1156,9.3,0.2,69333,1651,6.0,0.2,118200,2989,2.4,0.1,86324,3182,19552860,*****,25834,159,76.2,0.1,28603,200,16.1,0.1,15624,277,0.3,0.1,20626,2378,2.6,0.1,27775,1197,0.0,0.1,21296,6101,2.5,0.1,16144,824,2.3,0.1,14584,855,23.6,*****,18591,304,56.2,0.1,31940,245,35.1,(X),(X),(X),35.3,(X),(X),(X),28.4,(X),(X),(X)
