GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; All households - With earnings,Total; Margin of Error; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,Mean income (dollars); Margin of Error; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Total; Margin of Error; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Total; Margin of Error; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Mean income (dollars); Margin of Error; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Total; Margin of Error; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Total; Margin of Error; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Mean income (dollars); Margin of Error; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Total; Margin of Error; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Mean income (dollars); Margin of Error; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
0400000US01,01,Alabama,1846390,11341,62307,811,71.9,0.5,64249,904,16.6,0.3,16916,2186,36.0,0.4,17647,178,6.6,0.3,8951,249,1.6,0.1,2955,393,21.9,0.4,22749,754,1213540,13821,74779,1084,19.4,0.4,41978,1530,36.3,0.7,61205,1652,28.4,0.6,105456,2369,8.4,0.4,70805,3652,5.8,0.3,119179,3749,1.7,0.2,95327,8257,4858979,*****,24769,303,68.5,0.1,28235,383,26.8,0.1,17128,411,0.4,0.1,23584,3686,1.2,0.1,26377,3098,0.1,0.1,12905,7214,1.1,0.1,12132,1690,1.8,0.1,14269,1374,4.0,0.1,15197,1545,65.9,0.1,28685,404,37.5,(X),(X),(X),38.3,(X),(X),(X),30.3,(X),(X),(X)
0400000US02,02,Alaska,250185,2685,92876,2964,86.1,0.8,86273,2804,44.2,1.3,12460,2066,20.2,0.7,16586,567,5.6,0.6,9835,668,6.4,0.7,3914,382,19.1,1.0,32226,1995,163800,3113,105426,3448,8.7,0.8,56997,5374,32.9,1.6,80790,6205,36.9,1.6,128030,5620,9.3,1.2,90935,9406,9.8,0.8,161182,13891,2.5,0.5,99679,13132,738432,*****,34352,954,65.2,0.4,41133,1206,3.5,0.2,27632,5581,13.7,0.4,17650,880,6.4,0.3,24532,2908,0.9,0.2,41881,32182,1.7,0.4,23423,4272,8.6,0.6,20941,3520,7.0,*****,26179,4281,61.3,0.1,41954,1220,32.8,(X),(X),(X),33.3,(X),(X),(X),25.8,(X),(X),(X)
0400000US04,04,Arizona,2463008,12455,70638,716,74.3,0.3,70913,751,20.4,0.3,22394,1374,33.1,0.3,19502,159,4.3,0.2,10037,238,2.0,0.1,2493,234,20.5,0.3,24985,618,1598414,13914,81103,1012,19.6,0.4,52610,1782,35.1,0.6,65180,1332,26.5,0.6,115010,2315,9.5,0.4,71343,2673,6.6,0.3,123199,3543,2.6,0.2,93662,6107,6828065,*****,26721,279,77.4,0.4,29115,333,4.4,0.1,21547,1133,4.5,0.1,13517,543,3.2,0.1,31778,1791,0.2,0.1,18592,3534,7.1,0.3,15220,805,3.3,0.2,15521,1363,30.7,*****,15712,375,55.7,0.1,34228,422,36.9,(X),(X),(X),37.9,(X),(X),(X),30.1,(X),(X),(X)
0400000US05,05,Arkansas,1144663,8300,59275,931,72.7,0.5,61676,1044,16.9,0.5,15951,1964,35.8,0.5,17433,206,6.9,0.3,8700,286,2.0,0.2,2521,285,18.8,0.5,19147,816,761494,10038,70602,1247,18.8,0.6,41197,1983,34.6,0.9,56723,2341,31.8,0.8,97231,2385,7.6,0.5,62562,4080,5.8,0.4,109454,4711,1.5,0.2,87828,9279,2978204,*****,23589,374,77.5,0.2,25864,447,15.8,0.2,15530,781,0.7,0.1,14571,2461,1.4,0.1,27793,3432,0.3,0.1,9064,2113,2.2,0.2,12431,1103,2.2,0.2,14008,2524,7.0,0.1,12349,1106,73.0,0.1,26655,433,35.4,(X),(X),(X),35.9,(X),(X),(X),28.6,(X),(X),(X)
0400000US06,06,California,12896357,19487,91757,393,80.5,0.1,91718,409,21.7,0.2,27721,716,27.4,0.1,17861,85,6.3,0.1,9760,82,3.5,0.1,4525,94,16.1,0.1,30503,397,8835906,26617,101885,512,13.1,0.2,54493,1012,33.7,0.3,81989,971,28.2,0.2,143007,1169,11.5,0.2,82876,1246,8.8,0.2,140019,1825,4.7,0.1,105736,2014,39144818,*****,31587,129,60.9,0.2,35523,198,5.8,0.1,25784,547,0.7,0.1,21090,978,14.2,0.1,36024,392,0.4,0.1,22423,1611,13.5,0.2,16330,190,4.5,0.1,20235,479,38.8,*****,17103,103,37.8,0.1,46338,296,36.2,(X),(X),(X),36.9,(X),(X),(X),28.0,(X),(X),(X)
0400000US08,08,Colorado,2074735,7548,85915,783,81.9,0.4,85106,782,24.1,0.4,20741,1358,25.0,0.3,18227,196,3.5,0.2,9632,347,2.0,0.2,3433,674,17.0,0.4,28761,849,1331861,11075,101461,1195,12.1,0.3,58560,2015,30.5,0.6,82498,2697,37.9,0.6,125002,2024,8.7,0.4,88081,3959,8.2,0.3,140610,3907,2.5,0.2,103620,6526,5456574,*****,33563,314,84.4,0.2,35676,360,4.1,0.1,23582,1322,0.9,0.1,22101,2287,3.0,0.1,29828,1362,0.2,0.1,22114,4701,3.8,0.2,18276,1057,3.5,0.2,18006,1141,21.3,*****,17692,420,68.5,0.1,39843,447,33.5,(X),(X),(X),34.1,(X),(X),(X),27.0,(X),(X),(X)
0400000US09,09,Connecticut,1343703,6712,101347,1210,78.7,0.4,104529,1325,27.8,0.5,21685,1421,30.5,0.4,19498,220,4.4,0.2,9788,452,4.0,0.3,4120,320,18.7,0.4,27470,778,876188,9056,122665,1578,12.3,0.5,58237,3308,31.1,0.7,103115,3628,33.6,0.8,158193,3175,9.9,0.4,92911,4189,10.4,0.4,172163,5734,2.7,0.3,117743,6977,3590886,*****,39430,434,76.5,0.4,44134,574,10.6,0.2,22712,1061,0.2,0.1,23334,4509,4.4,0.1,43718,3502,0.0,0.1,22054,8996,5.0,0.4,16601,820,3.2,0.2,13960,1186,15.4,*****,19295,675,67.9,0.1,46886,613,35.4,(X),(X),(X),36.6,(X),(X),(X),28.4,(X),(X),(X)
0400000US10,10,Delaware,352595,3920,81120,2210,76.1,0.9,81093,2278,23.3,0.9,18846,4329,34.2,0.8,20106,369,4.9,0.6,9720,675,2.0,0.3,2517,897,24.2,0.8,26643,1309,235385,4062,93475,2358,16.6,0.9,56614,3859,32.4,1.4,68550,3941,29.5,1.4,125368,4115,10.0,1.0,82888,7414,8.5,0.8,160487,11630,3.0,0.5,98057,10154,945934,*****,31441,830,69.2,0.5,34522,1040,21.6,0.3,23359,1570,0.3,0.1,21921,6937,3.8,0.2,44329,6729,0.0,0.1,N,N,2.0,0.4,16928,3958,3.0,0.4,12834,2277,9.0,*****,17806,2863,63.0,0.1,36094,980,40.0,(X),(X),(X),40.6,(X),(X),(X),32.7,(X),(X),(X)
0400000US11,11,District of Columbia,281787,3030,114600,4986,80.6,1.1,117776,4027,24.6,1.2,36440,6532,18.4,0.8,15813,540,5.5,0.6,9834,718,3.3,0.5,2999,418,13.8,0.8,45227,7950,125178,3853,147329,10218,14.9,1.3,55006,11423,30.7,1.8,111440,24062,35.4,2.2,226062,16248,11.9,1.5,109082,16563,5.0,1.0,189658,23129,2.3,0.5,116978,31897,672228,*****,50187,1986,40.0,0.5,81474,4646,47.4,0.4,26409,1226,0.2,0.2,37968,26267,3.9,0.2,56294,4839,0.1,0.1,81176,41289,5.2,0.6,26743,5384,3.2,0.4,41923,7248,10.6,*****,40176,12688,36.0,0.1,83742,3646,32.7,(X),(X),(X),35.6,(X),(X),(X),31.3,(X),(X),(X)
