GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38
0400000US01,01,Alabama,1844546,11416,57208,733,73.2,0.5,59285,764,15.6,0.4,13618,1483,33.3,0.4,16079,164,6.7,0.3,8498,213,1.8,0.1,2815,426,20.6,0.4,20925,833,1251795,13646,67424,947,19.2,0.5,35720,1662,34.9,0.7,55265,1342,29.8,0.8,93045,1682,8.6,0.5,65762,3694,5.9,0.4,111846,4157,1.6,0.2,80490,6225,4802740,*****,22711,268,69.1,0.2,26133,355,26.7,0.1,14772,307,0.5,0.1,19575,2090,1.1,0.1,23973,2263,0.0,0.1,39831,22746,1.2,0.1,11035,1217,1.3,0.1,14565,2763,3.9,0.1,13893,1878,66.7,0.1,26527,365,29.1,(X),(X),(X),29.5,(X),(X),(X),22.5,(X),(X),(X)
0400000US02,02,Alaska,257330,3380,82665,2364,86.1,0.9,79350,2276,48.7,1.5,7316,1452,19.6,0.7,14157,499,4.2,0.6,8940,764,6.1,0.7,4005,398,17.2,1.1,28459,1520,173279,4602,92339,2831,9.3,1.1,44702,5150,32.0,1.7,66120,3943,37.6,1.8,114194,5524,9.0,1.0,85850,7075,9.7,1.1,143059,9964,2.3,0.5,103769,8577,722718,*****,31405,856,66.8,0.4,37580,1222,3.2,0.3,26808,4528,14.2,0.5,18307,1502,5.3,0.3,23107,1953,1.1,0.1,15267,2718,1.2,0.3,22249,3041,8.3,0.7,14557,1504,5.8,0.1,22948,2188,63.6,0.1,38133,1254,24.1,(X),(X),(X),23.7,(X),(X),(X),19.4,(X),(X),(X)
0400000US04,04,Arizona,2356055,12130,62927,690,74.9,0.5,63379,796,19.3,0.5,17488,1411,30.5,0.4,17826,222,4.2,0.2,9087,293,2.7,0.2,3608,339,19.6,0.4,23777,711,1543923,17041,72602,940,18.7,0.6,47092,1870,35.9,0.8,58186,1502,28.2,0.7,100472,2051,8.9,0.5,64739,2636,6.0,0.3,117312,6503,2.3,0.2,75672,3702,6482505,*****,23793,273,79.3,0.4,26057,324,4.1,0.1,16743,984,4.5,0.1,11918,757,2.7,0.1,28177,2161,0.2,0.1,10990,2494,6.2,0.3,12403,664,3.0,0.2,11607,795,30.1,*****,13077,325,57.3,0.1,30847,410,29.9,(X),(X),(X),30.2,(X),(X),(X),23.2,(X),(X),(X)
0400000US05,05,Arkansas,1127621,7837,53204,914,73.4,0.6,55038,1037,16.0,0.5,12573,1473,34.4,0.5,15713,209,7.1,0.4,8290,293,2.8,0.2,3286,463,17.5,0.5,19664,1227,757205,8841,62656,1213,18.4,0.5,34444,1458,35.5,0.8,49753,1661,31.5,0.9,86524,2138,7.8,0.5,60667,4446,5.2,0.4,102911,4685,1.6,0.2,81308,7882,2937979,*****,21203,328,78.2,0.3,23182,421,15.8,0.1,14073,538,0.6,0.1,17632,2863,1.2,0.1,21726,3226,0.2,0.1,8520,2799,2.1,0.3,11127,1161,1.9,0.2,12922,2491,6.5,0.1,11076,957,74.3,0.1,23796,430,27.6,(X),(X),(X),28.7,(X),(X),(X),21.2,(X),(X),(X)
0400000US06,06,California,12468743,22250,80848,376,80.0,0.2,81517,363,20.6,0.2,21800,648,25.4,0.1,16214,70,6.2,0.1,9614,121,4.1,0.1,5337,109,15.5,0.2,27414,396,8518518,30469,89976,512,13.6,0.2,46043,1079,35.1,0.3,71830,786,28.4,0.2,127107,1211,10.7,0.2,76935,1317,8.2,0.2,126567,1719,4.0,0.1,93883,1654,37691912,*****,27859,115,62.9,0.2,31398,187,6.0,0.1,22000,421,0.8,0.1,19552,1130,13.2,0.1,30910,371,0.4,0.1,19770,1226,12.6,0.2,14172,220,4.2,0.1,16970,527,38.1,*****,14893,125,39.6,0.1,40775,265,30.0,(X),(X),(X),30.6,(X),(X),(X),22.2,(X),(X),(X)
0400000US08,08,Colorado,1975388,9057,74852,787,82.2,0.4,74073,905,23.2,0.5,17102,1311,22.9,0.3,16406,177,3.5,0.2,9024,387,2.2,0.2,3970,364,15.6,0.4,26087,577,1256471,12018,88859,1097,12.1,0.4,48276,2406,31.6,0.8,71407,2268,38.7,0.7,110771,1947,8.5,0.5,75149,3362,7.4,0.3,129034,4804,1.7,0.2,97833,8765,5116796,*****,29804,317,84.4,0.3,31842,366,4.0,0.1,21868,1973,1.0,0.1,16571,1615,2.8,0.1,26783,1727,0.1,0.1,18235,4431,4.3,0.3,14743,889,3.4,0.2,14355,988,20.9,*****,15462,383,69.6,0.1,35205,424,24.3,(X),(X),(X),24.1,(X),(X),(X),18.9,(X),(X),(X)
0400000US09,09,Connecticut,1351643,7309,92248,1009,79.1,0.4,94690,1148,27.0,0.5,19464,1308,29.0,0.4,17697,204,4.4,0.3,9391,347,3.2,0.3,4655,371,17.9,0.4,25373,905,893101,9280,110730,1516,12.6,0.5,51203,2411,31.9,0.7,92681,2918,33.4,0.9,142495,3347,9.3,0.5,94593,4751,10.4,0.5,150327,4275,2.5,0.3,111975,10396,3580709,*****,35932,403,77.8,0.3,39978,517,10.0,0.2,20943,921,0.2,0.1,23923,9663,3.9,0.1,36167,3015,0.0,0.1,31336,13314,5.5,0.3,15071,1090,2.5,0.2,16188,1776,13.8,*****,16859,724,70.7,0.1,42044,548,28.8,(X),(X),(X),29.8,(X),(X),(X),23.2,(X),(X),(X)
0400000US10,10,Delaware,333192,3426,76400,1722,78.4,0.7,76446,2148,21.9,0.9,14358,2191,31.8,0.8,18003,447,5.1,0.6,10527,876,2.6,0.4,3403,616,23.4,0.8,23747,1175,227101,3932,87135,2494,14.8,0.8,48509,3233,33.4,1.5,65198,4564,29.3,1.3,118884,6306,10.9,1.1,77759,5149,9.2,0.9,134623,9136,2.3,0.6,102642,6752,907135,*****,29123,663,70.2,0.5,32757,928,21.4,0.3,20317,900,0.3,0.1,21269,6038,3.3,0.1,34695,4074,0.0,0.1,N,N,2.2,0.5,14711,3030,2.7,0.4,9762,2195,8.4,*****,17947,2783,65.0,0.1,33741,859,31.8,(X),(X),(X),31.9,(X),(X),(X),24.6,(X),(X),(X)
0400000US11,11,District of Columbia,268670,3200,98177,3254,80.4,1.1,102282,3392,23.0,1.2,25507,4588,18.7,0.8,13831,555,6.1,0.7,8062,502,3.7,0.5,3719,456,15.0,0.8,38800,6070,114045,3666,123998,6694,15.1,1.7,48905,11944,35.5,2.1,93285,15414,29.3,2.1,206570,13767,13.4,1.5,95905,12510,3.5,0.7,198687,30863,3.3,0.9,101588,14066,617996,*****,44578,1428,39.9,0.6,72162,3380,50.1,0.4,24792,1169,0.3,0.1,28014,11636,3.6,0.2,48445,7678,0.0,0.1,N,N,4.0,0.6,20367,3450,2.1,0.3,34202,4663,9.5,*****,34931,9333,35.2,0.1,75263,3125,33.8,(X),(X),(X),37.6,(X),(X),(X),29.7,(X),(X),(X)
0400000US12,12,Florida,7106283,31131,63006,529,72.2,0.3,63448,604,20.0,0.2,21849,993,35.1,0.2,17150,121,4.8,0.1,9009,215,2.0,0.1,3409,189,19.3,0.2,24437,512,4559858,26881,73821,736,20.7,0.4,49368,1711,34.9,0.4,62237,1437,27.5,0.4,100240,1449,8.8,0.3,66494,1718,6.0,0.2,112442,2976,2.1,0.1,82260,5584,19057542,*****,24905,209,76.3,0.2,27555,269,16.0,0.1,15358,293,0.3,0.1,18086,2732,2.4,0.1,27841,1403,0.1,0.1,19145,5232,2.7,0.1,13776,835,2.2,0.1,14070,1220,22.9,0.1,17404,295,57.3,0.1,30672,300,32.3,(X),(X),(X),32.5,(X),(X),(X),25.1,(X),(X),(X)
