Year,Comparison Group,Institution,Total Curr Ops/Restricted Total,Total Current Operations,"Total Cap Purp/Prop, Bldgs, Equip",Total Cap Purp/Endowment/Unrestricted,Total Cap Purp/Loan Funds,Total Cap Purp/Endow/Restricted/Outright,Total Capital Purposes (Outright Gifts Only),Total Deferred/Face Value ,Total Deferred/Present Value ,Grand Total ,Alumni: Total ,Athletics/Curr Ops: Donors (#),Athletics/Curr Ops: Total Amount ($),Athletics/Cap Purp: Donors (#),Athletics/Total: Donors (#),Athletics/Cap Purp: Total Amount ($),Athletics/Total: Total Amount ($),Alumni: Curr Ops/Athletics
FY2009,Baccalaureate (All),Ursinus College,"$2,597,939","$3,762,956","$4,398,595",$0,$0,"$1,609,075","$6,007,670","$1,947,896","$1,012,906","$10,783,532","$4,409,945",0,$0,0,0,$0,$0,"$49,233"
FY2010,Baccalaureate (All),Ursinus College,"$3,900,698","$5,042,741","$1,985,588",$0,$0,"$2,693,443","$4,679,031","$939,936","$488,689","$10,210,461","$6,187,725",0,$0,0,0,$0,$0,"$56,180"
FY2006,Baccalaureate (All),Washington & Jefferson College,"$1,221,908","$3,977,245","$1,721,564","$5,132,315",$0,"$381,926","$7,235,805","$156,557","$102,288","$11,315,338","$1,983,444",353,"$142,233",0,353,$0,"$142,233","$89,527"
FY2007,Baccalaureate (All),Washington & Jefferson College,"$916,472","$2,361,406","$2,845,753","$1,307",$0,"$1,276,169","$4,123,229","$97,104","$63,205","$6,547,840","$3,443,961",140,"$102,492",0,140,$0,"$102,492","$58,217"
FY2008,Baccalaureate (All),Washington & Jefferson College,"$1,091,049","$2,328,626","$8,874,390","$151,400",$0,"$1,857,309","$10,883,099",$0,$0,"$13,211,725","$2,068,874",184,"$122,213",0,184,$0,"$122,213","$57,816"
FY2009,Baccalaureate (All),Washington & Jefferson College,"$963,991","$2,312,369","$6,830,032","$152,000",$0,"$1,279,826","$8,261,858",$0,$0,"$10,574,227","$2,548,398",204,"$77,823",0,204,$0,"$77,823","$38,254"
FY2010,Baccalaureate (All),Washington & Jefferson College,"$1,449,737","$2,691,228","$1,355,522","$178,000",$0,"$2,543,893","$4,077,415",$0,$0,"$6,768,643","$2,840,305",124,"$63,921",0,124,$0,"$63,921","$44,697"
FY2006,Baccalaureate (All),Westminster College,"$779,724","$1,365,096","$2,891,025",$600,$0,"$725,314","$3,616,939","$245,420","$100,472","$5,082,507","$2,176,812",726,"$136,080",1,727,"$15,000","$151,080","$104,077"
FY2007,Baccalaureate (All),Westminster College,"$1,010,178","$1,906,232","$2,321,722",$350,$0,"$1,574,981","$3,897,053","$20,000","$8,465","$5,811,750","$3,664,737",719,"$13,909",0,719,$0,"$13,909","$103,354"
FY2008,Baccalaureate (All),Westminster College,"$755,423","$1,428,510","$2,130,490",$611,$0,"$2,126,181","$4,257,282","$10,000","$2,800","$5,688,592","$3,316,094",675,"$124,583",,675,,"$124,583","$87,260"
FY2009,Baccalaureate (All),Westminster College,"$1,016,207","$1,647,667","$1,051,809",$250,$0,"$782,298","$1,834,357",$0,$0,"$3,482,024","$1,605,542",786,"$123,203",,786,,"$123,203","$91,139"
FY2010,Baccalaureate (All),Westminster College,"$771,501","$1,437,065","$1,550,659",$0,$0,"$1,162,698","$2,713,357","$75,108","$42,085","$4,192,507","$2,850,747","1,134","$130,522",0,"1,134",$0,"$130,522","$78,779"
