Year,Comparison Group,Institution,Total Curr Ops/Restricted Total,Total Current Operations,"Total Cap Purp/Prop, Bldgs, Equip",Total Cap Purp/Endowment/Unrestricted,Total Cap Purp/Loan Funds,Total Cap Purp/Endow/Restricted/Outright,Total Capital Purposes (Outright Gifts Only),Total Deferred/Face Value ,Total Deferred/Present Value ,Grand Total ,Alumni: Total ,Athletics/Curr Ops: Donors (#),Athletics/Curr Ops: Total Amount ($),Athletics/Cap Purp: Donors (#),Athletics/Total: Donors (#),Athletics/Cap Purp: Total Amount ($),Athletics/Total: Total Amount ($),Alumni: Curr Ops/Athletics
FY2010,Baccalaureate (All),Lake Forest College,"$2,830,576","$4,831,305","$5,145,415","$422,725",$0,"$9,005,032","$14,573,172","$30,000","$6,690","$19,411,167","$12,104,781",0,$0,0,0,$0,$0,"$12,188"
FY2009,Baccalaureate (All),Lincoln College,"$83,838","$283,306","$612,467",$100,$0,"$434,246","$1,046,813",,$0,"$1,330,119","$477,895",,,,,,,
FY2010,Baccalaureate (All),Lincoln College,"$75,086","$272,934","$1,469,814","$63,589",$0,"$92,405","$1,625,808",,$0,"$1,898,742","$227,277",,,,,,,
FY2006,Baccalaureate (All),MacMurray College,"$359,825","$814,944","$129,190","$1,150",$0,"$1,096,759","$1,227,099","$10,000","$4,724","$2,046,767","$1,401,232",186,"$36,245",3,189,"$4,673","$40,918","$24,591"
FY2007,Baccalaureate (All),MacMurray College,"$787,105","$1,404,841","$168,783","$1,100",$0,"$316,146","$486,029","$5,000","$2,450","$1,893,320","$1,303,818",101,"$18,450",2,103,"$1,000","$19,450","$14,930"
FY2008,Baccalaureate (All),MacMurray College,"$541,531","$1,324,436","$253,625","$205,190",$0,"$630,994","$1,089,809","$115,000","$47,953","$2,462,198","$1,193,747",65,"$20,050",0,65,$0,"$20,050","$19,775"
FY2009,Baccalaureate (All),MacMurray College,"$337,536","$1,107,113",$50,"$1,000",$0,"$126,252","$127,302",$0,$0,"$1,234,415","$888,016",57,"$26,228",0,57,$0,"$26,228","$22,633"
FY2010,Baccalaureate (All),MacMurray College,"$206,057","$1,710,432","$20,085",$600,"$3,000","$132,332","$156,017",$0,$0,"$1,866,449","$778,860",54,"$10,683",0,54,$0,"$10,683","$8,632"
FY2006,Baccalaureate (All),Millikin University,"$2,588,699","$4,047,503","$4,864,381","$611,360",$0,"$1,203,498","$6,679,239","$30,392","$11,153","$10,737,895","$2,922,920",306,"$71,103",0,306,$0,"$71,103","$32,058"
FY2007,Baccalaureate (All),Millikin University,"$1,498,482","$2,935,808","$505,625","$4,838,268",$0,"$1,810,789","$7,154,682","$23,376","$10,704","$10,101,194","$1,951,861",285,"$64,022",0,285,$0,"$64,022","$30,258"
FY2008,Baccalaureate (All),Millikin University,"$1,262,147","$2,878,322","$35,530","$951,837",$0,"$2,277,183","$3,264,550","$110,000","$55,433","$6,198,305","$1,582,533",311,"$52,613",0,311,$0,"$52,613","$30,814"
FY2009,Baccalaureate (All),Millikin University,"$978,837","$2,611,669","$549,665",$0,$0,"$2,858,572","$3,408,237","$20,000","$8,367","$6,028,273","$1,007,990",323,"$46,595",13,336,"$300,620","$347,215","$34,289"
FY2010,Baccalaureate (All),Millikin University,"$1,268,178","$2,754,181","$546,378","$30,000",$0,"$1,040,067","$1,616,445","$25,000","$12,408","$4,383,034","$1,122,575",633,"$68,653",2,635,$300,"$68,953","$41,309"
FY2006,Baccalaureate (All),Monmouth College,"$87,975","$2,865,215","$2,390,373",$0,$0,"$1,073,575","$3,463,948","$114,886","$38,955","$6,368,118","$4,628,772",,,,,,,$0
FY2007,Baccalaureate (All),Monmouth College,"$115,353","$2,233,418","$617,501","$89,310",$0,"$955,578","$1,662,389","$209,152","$81,225","$3,977,032","$1,669,306",,,,,,,$0
FY2008,Baccalaureate (All),Monmouth College,"$252,077","$2,319,205","$5,981,355","$185,505",$0,"$375,059","$6,541,919","$127,790","$72,210","$8,933,334","$3,248,225",0,$0,0,0,$0,$0,"$23,361"
FY2009,Baccalaureate (All),Monmouth College,"$179,967","$1,202,054","$1,890,247",$0,$0,"$1,174,440","$3,064,687","$31,174","$18,826","$4,285,567","$2,291,171",,,,,,,"$1,500"
FY2010,Baccalaureate (All),Monmouth College,"$254,484","$1,608,951","$2,454,897",$250,$0,"$3,784,969","$6,240,116",$0,$0,"$7,849,067","$3,047,931",,,,,,,$0
FY2006,Baccalaureate (All),Wheaton College,"$4,017,669","$9,372,582","$14,099,151","$1,250","$27,018","$4,357,853","$18,485,272","$7,386,858","$2,528,758","$30,386,612","$11,803,404",111,"$102,168",123,234,"$643,843","$746,011","$73,226"
FY2007,Baccalaureate (All),Wheaton College,"$3,356,132","$8,652,264","$11,784,844","$1,250","$15,000","$4,949,749","$16,750,843","$13,274,505","$5,003,117","$30,406,224","$14,912,531",125,"$172,795",115,240,"$449,917","$622,712","$113,068"
FY2008,Baccalaureate (All),Wheaton College,"$3,728,719","$8,999,131","$9,128,255",$342,"$10,000","$10,388,826","$19,527,423","$4,197,933","$1,880,920","$30,407,474","$13,872,761",120,"$578,615",68,188,"$205,872","$784,487","$119,056"
FY2009,Baccalaureate (All),Wheaton College,"$3,639,172","$8,851,629","$6,968,383",$0,$0,"$3,726,851","$10,695,234","$3,102,188","$1,106,148","$20,653,011","$9,630,941",105,"$150,122",26,131,"$124,069","$274,191","$92,422"
FY2010,Baccalaureate (All),Wheaton College,"$3,574,000","$9,297,828","$9,688,554",$100,$0,"$4,099,123","$13,787,777","$5,833,862","$2,385,787","$25,471,392","$11,847,188",114,"$130,572",15,129,"$54,001","$184,573","$106,589"
FY2006,Baccalaureate (All),DePauw University,"$1,965,801","$10,510,746","$7,831,949","$85,572","$305,944","$11,599,149","$19,822,614","$1,147,791","$429,785","$30,763,145","$17,191,508",,,,,,,"$9,138"
FY2007,Baccalaureate (All),DePauw University,"$3,827,464","$13,529,476","$5,725,763","$80,000","$51,036","$5,715,939","$11,572,738","$2,796,985","$1,239,576","$26,341,790","$17,018,323",,,,,,,"$69,810"
FY2008,Baccalaureate (All),DePauw University,"$1,926,861","$15,162,006","$4,549,963","$30,000","$79,307","$5,844,688","$10,503,958","$1,660,130","$782,384","$26,448,348","$19,662,387",,,,,,,"$4,805"
FY2009,Baccalaureate (All),DePauw University,"$2,186,477","$7,943,148","$2,205,009","$338,305",$200,"$3,518,068","$6,061,582","$1,318,017","$350,394","$14,355,124","$7,912,594",,,,,,,"$2,675"
FY2010,Baccalaureate (All),DePauw University,"$3,653,296","$8,796,887","$939,197","$200,749","$50,250","$3,775,104","$4,965,300","$400,000","$244,640","$14,006,827","$8,021,855",,,,,,,"$9,969"
