Year,Comparison Group,Institution,Total Curr Ops/Restricted Total,Total Current Operations,"Total Cap Purp/Prop, Bldgs, Equip",Total Cap Purp/Endowment/Unrestricted,Total Cap Purp/Loan Funds,Total Cap Purp/Endow/Restricted/Outright,Total Capital Purposes (Outright Gifts Only),Total Deferred/Face Value ,Total Deferred/Present Value ,Grand Total ,Alumni: Total ,Athletics/Curr Ops: Donors (#),Athletics/Curr Ops: Total Amount ($),Athletics/Cap Purp: Donors (#),Athletics/Total: Donors (#),Athletics/Cap Purp: Total Amount ($),Athletics/Total: Total Amount ($),Alumni: Curr Ops/Athletics
FY2016,Baccalaureate (All),Athens State University,"$133,736","$181,862","$3,452",$0,$0,"$220,378","$223,830",,$0,"$405,692","$80,417",,,,,,,
FY2011,Baccalaureate (All),Birmingham Southern College,"$3,365,692","$7,886,516","$20,241","$92,537","$65,471","$2,937,172","$3,115,421","$200,000","$53,840","$11,055,777","$3,405,055","1,273","$186,226",0,"1,273",$0,"$186,226","$67,904"
FY2012,Baccalaureate (All),Birmingham Southern College,"$4,322,353","$9,835,407","$2,050",$300,$0,"$1,615,201","$1,617,551",$0,$0,"$11,452,958","$2,649,073","1,058","$256,818",0,"1,058",$0,"$256,818","$73,150"
FY2013,Baccalaureate (All),Birmingham Southern College,"$3,584,288","$15,669,580","$3,135","$5,300",$877,"$808,330","$817,642",$0,$0,"$16,487,222","$3,984,153","1,535","$253,749",5,"1,540","$8,000","$261,749","$59,292"
FY2014,Baccalaureate (All),Birmingham Southern College,"$2,557,067","$10,035,509",$450,"$20,050",$0,"$2,911,390","$2,931,890",$0,$0,"$12,967,399","$3,282,968","1,261","$219,444",3,"1,264","$3,500","$222,944","$46,689"
FY2015,Baccalaureate (All),Birmingham Southern College,"$3,822,687","$7,173,429",$150,"$20,000",$0,"$2,505,306","$2,525,456","$115,000","$52,864","$9,751,749","$2,789,175","1,449","$266,294",3,"1,452","$4,000","$270,294","$43,839"
FY2016,Baccalaureate (All),Birmingham Southern College,"$4,839,754","$9,533,728",$0,"$20,000",$0,"$1,393,065","$1,413,065",$0,$0,"$10,946,793","$3,602,783","1,148","$282,276",0,"1,148",$0,"$282,276","$72,082"
FY2011,Baccalaureate (All),Judson College,"$396,214","$2,340,645","$85,000",$0,$0,"$262,219","$347,219",,$0,"$2,687,864","$542,285",,,,,,,
FY2012,Baccalaureate (All),Judson College,"$221,350","$2,022,899","$140,253",$0,$0,"$158,418","$298,671",,$0,"$2,321,570","$351,851",,,,,,,
FY2013,Baccalaureate (All),Judson College,"$529,867","$2,381,518",$0,"$37,000","$140,400","$38,563","$215,963",,$0,"$2,597,481","$355,671",,,,,,,
FY2014,Baccalaureate (All),Judson College,"$578,977","$2,585,213","$52,133","$12,000","$642,013","$119,534","$825,680",,$0,"$3,410,893","$524,237",,,,,,,
FY2015,Baccalaureate (All),Judson College,"$305,096","$2,006,449","$1,374,191","$12,000",$0,"$135,310","$1,521,501",,$0,"$3,527,950","$443,152",,,,,,,
FY2016,Baccalaureate (All),Judson College,"$458,245","$2,546,648","$100,815","$10,000",$0,"$171,997","$282,812",,$0,"$2,829,460","$599,712",,,,,,,
FY2011,Baccalaureate (All),Spring Hill College,"$1,191,390","$1,893,831","$1,817,571","$10,000",$0,"$2,536,257","$4,363,828",$0,$0,"$6,257,659","$1,287,974",67,"$27,355",0,67,$0,"$27,355","$6,300"
FY2012,Baccalaureate (All),Spring Hill College,"$1,810,276","$2,675,996","$1,256,447","$10,000",$0,"$276,305","$1,542,752",$0,$0,"$4,218,748","$1,885,170",78,"$33,119",0,78,$0,"$33,119","$16,849"
FY2013,Baccalaureate (All),Spring Hill College,"$3,434,645","$4,091,828","$446,229","$12,919",$0,"$304,157","$763,305",$0,$0,"$4,855,133","$1,983,545",103,"$781,050",0,103,$0,"$781,050","$9,160"
FY2014,Baccalaureate (All),Spring Hill College,"$20,174,032","$21,079,213","$162,413",$0,$0,"$1,928,008","$2,090,421",$0,$0,"$23,169,634","$4,933,428",237,"$42,350",0,237,$0,"$42,350","$4,000"
FY2015,Baccalaureate (All),Spring Hill College,"$3,795,726","$4,653,118","$105,684","$19,993",$0,"$471,421","$597,098",$0,$0,"$5,250,216","$1,367,218",234,"$34,980",0,234,$0,"$34,980","$4,220"
FY2016,Baccalaureate (All),Spring Hill College,"$6,226,778","$7,417,233","$82,450",$0,$0,"$1,037,566","$1,120,016",$0,$0,"$8,537,249","$3,862,302",412,"$51,747",0,412,$0,"$51,747","$5,025"
FY2011,Baccalaureate (All),Lyon College,"$1,104,901","$1,104,901","$279,937","$1,120",$0,"$184,401","$465,458",$0,$0,"$1,570,359","$299,219",379,"$50,080",5,384,"$2,400","$52,480","$2,240"
FY2012,Baccalaureate (All),Lyon College,"$1,495,682","$1,495,682","$3,961,649","$1,200",$0,"$208,983","$4,171,832",$0,$0,"$5,667,514","$532,029",288,"$36,592",3,291,"$1,700","$38,292","$2,010"
FY2013,Baccalaureate (All),Lyon College,"$1,099,408","$1,099,408","$181,865","$118,989",$0,"$98,320","$399,174",$0,$0,"$1,498,582","$383,985",318,"$44,840",3,321,"$1,425","$46,265","$3,495"
FY2014,Baccalaureate (All),Lyon College,"$897,868","$897,868","$1,645,643","$5,095",$0,"$95,053","$1,745,791",$0,$0,"$2,643,659","$280,045",248,"$61,288",5,253,"$10,850","$72,138","$5,760"
FY2015,Baccalaureate (All),Lyon College,"$694,936","$694,936","$1,632,678",$870,$0,"$95,284","$1,728,832",$0,$0,"$2,423,768","$247,528",460,"$103,696",13,473,"$44,672","$148,368","$7,255"
FY2011,Baccalaureate (All),Central Baptist College,"$98,687","$740,017","$2,146,771","$1,790",$0,"$230,455","$2,379,016","$20,000","$6,578","$3,125,611","$49,473",,,,,,,$170
FY2012,Baccalaureate (All),Central Baptist College,"$82,890","$674,632","$3,387,418","$2,730",$0,"$45,903","$3,436,051","$50,000","$24,612","$4,135,295","$102,811",,,,,,,$425
FY2013,Baccalaureate (All),Central Baptist College,"$65,807","$686,787","$3,309,440","$1,375",$0,"$89,157","$3,399,972",$0,$0,"$4,086,759","$95,213",,,,,,,$100
FY2014,Baccalaureate (All),Central Baptist College,"$103,360","$1,731,884","$3,591,163","$2,885",$0,"$44,690","$3,638,738",$0,$0,"$5,370,622","$72,201",,,,,,,$215
FY2015,Baccalaureate (All),Central Baptist College,"$103,390","$756,056","$1,990,010",$995,$0,"$104,313","$2,095,318",$0,$0,"$2,851,374","$68,826",,,,,,,"$5,050"
FY2016,Baccalaureate (All),Central Baptist College,"$213,295","$969,678","$469,136","$2,300",$0,"$54,158","$525,594",$0,$0,"$1,495,272","$82,664",,,,,,,"$4,957"
FY2011,Baccalaureate (All),University of the Ozarks,"$455,600","$1,211,522","$471,170",$0,$0,"$1,192,405","$1,663,575","$70,000","$37,857","$2,912,954","$284,924",0,$0,0,0,$0,$0,"$6,299"
FY2012,Baccalaureate (All),University of the Ozarks,"$1,161,249","$1,927,200","$187,913",$0,$0,"$415,274","$603,187","$30,000","$18,297","$2,548,684","$285,456",0,$0,0,0,$0,$0,"$8,630"
FY2013,Baccalaureate (All),University of the Ozarks,"$3,045,198","$3,858,577","$20,128",$0,$0,"$947,041","$967,169",$0,$0,"$4,825,746","$319,252",0,$0,0,0,$0,$0,"$7,955"
FY2014,Baccalaureate (All),University of the Ozarks,"$3,320,191","$4,146,939","$1,500,000",$0,$0,"$950,360","$2,450,360",$0,$0,"$6,597,299","$291,023",29,"$13,200",0,29,$0,"$13,200","$18,090"
FY2015,Baccalaureate (All),University of the Ozarks,"$3,000,926","$3,743,656","$561,349",$0,$0,"$1,105,365","$1,666,714",$0,$0,"$5,410,370","$343,618",319,"$52,573",0,319,$0,"$52,573","$9,709"
FY2016,Baccalaureate (All),University of the Ozarks,"$3,033,396","$3,705,272","$463,463",$0,$0,"$1,755,782","$2,219,245",$0,$0,"$5,924,517","$609,358",0,$0,0,0,$0,$0,"$9,185"
FY2011,Baccalaureate (All),Hendrix College,"$1,139,239","$2,873,663","$2,928,970",$0,$0,"$1,488,072","$4,417,042","$90,000","$50,716","$7,341,421","$2,001,265",,,,,,,"$11,625"
FY2012,Baccalaureate (All),Hendrix College,"$684,047","$2,566,453","$935,333","$111,204",$0,"$1,895,077","$2,941,614","$1,050,822","$328,774","$5,836,841","$1,833,153",,,,,,,"$10,350"
FY2013,Baccalaureate (All),Hendrix College,"$237,530","$2,125,205","$1,589,640","$367,188",$0,"$1,846,585","$3,803,413","$198,736","$144,337","$6,072,955","$2,316,652",,,,,,,"$8,655"
FY2014,Baccalaureate (All),Hendrix College,"$582,851","$2,499,602","$1,328,920","$279,582",$0,"$1,405,817","$3,014,319","$23,829","$13,911","$5,527,832","$1,659,132",,,,,,,"$27,615"
FY2015,Baccalaureate (All),Hendrix College,"$1,088,395","$3,167,042","$1,135,959","$30,050",$0,"$6,397,442","$7,563,451","$200,000","$178,445","$10,908,938","$2,071,019",,,,,,,"$23,270"
FY2016,Baccalaureate (All),Hendrix College,"$788,694","$2,715,911","$4,268,736","$35,000",$0,"$14,667,948","$18,971,684","$25,000","$16,354","$21,703,949","$1,657,841",,,,,,,"$21,388"
FY2011,Baccalaureate (All),University of Arkansas-Fort Smith,"$654,164","$756,561","$66,600","$804,394",$0,"$1,666,822","$2,537,816",,$0,"$3,294,377","$1,502,594",,,,,,,
FY2012,Baccalaureate (All),University of Arkansas-Fort Smith,"$918,178","$1,869,301",$0,"$77,749",$0,"$2,358,196","$2,435,945",,$0,"$4,305,246","$929,364",,,,,,,
FY2013,Baccalaureate (All),University of Arkansas-Fort Smith,"$14,371,589","$14,504,645",$0,"$95,395",$0,"$1,376,835","$1,472,230",,$0,"$15,976,875","$638,522",,,,,,,
FY2014,Baccalaureate (All),University of Arkansas-Fort Smith,"$1,167,647","$1,454,647",$0,"$407,954",$0,"$1,874,868","$2,282,822",,$0,"$3,737,469","$557,789",,,,,,,
FY2015,Baccalaureate (All),University of Arkansas-Fort Smith,"$747,014","$776,457","$2,264,000","$72,273",$0,"$1,111,274","$3,447,547",,$0,"$4,224,004","$297,344",,,,,,,
FY2016,Baccalaureate (All),University of Arkansas-Fort Smith,"$764,037","$1,286,016",$0,"$465,403",$0,"$984,277","$1,449,680",,$0,"$2,735,696","$563,429",,,,,,,
FY2011,Baccalaureate (All),California State University-Maritime,"$1,034,216","$1,419,157","$176,833","$612,000",$0,"$195,380","$984,213",$0,$0,"$2,403,370","$227,702",139,"$38,388",0,139,$0,"$38,388","$8,825"
FY2012,Baccalaureate (All),California State University-Maritime,"$875,187","$1,435,664","$338,586",$0,$0,"$191,081","$529,667","$25,000","$13,008","$1,978,339","$502,117",22,"$7,957",0,22,$0,"$7,957","$4,000"
FY2013,Baccalaureate (All),California State University-Maritime,"$1,074,044","$1,340,377","$154,220",$0,$0,"$1,087,670","$1,241,890",$0,$0,"$2,582,267","$569,062",39,"$44,578",0,39,$0,"$44,578","$15,490"
FY2014,Baccalaureate (All),California State University-Maritime,"$453,986","$1,803,661",$0,$0,$0,"$622,277","$622,277",$0,$0,"$2,425,938","$116,819",34,"$29,506",0,34,$0,"$29,506","$5,600"
FY2015,Baccalaureate (All),California State University-Maritime,"$895,166","$1,351,235",$0,$0,$0,"$414,144","$414,144",$0,$0,"$1,765,379","$174,228",68,"$33,389",0,68,$0,"$33,389","$5,205"
FY2016,Baccalaureate (All),California State University-Maritime,"$397,825","$2,801,190","$135,000",$0,$0,"$538,605","$673,605",$0,$0,"$3,474,795","$277,057",52,"$25,991",0,52,$0,"$25,991","$12,540"
FY2011,Baccalaureate (All),Claremont McKenna College,"$7,255,088","$14,730,988","$850,375","$1,717,250","$5,000","$9,222,532","$11,795,157","$1,895,797","$541,306","$27,067,451","$6,502,754",320,"$152,933",16,336,"$176,875","$329,808","$113,669"
FY2012,Baccalaureate (All),Claremont McKenna College,"$7,275,004","$15,146,891","$434,327","$5,980","$5,000","$10,275,711","$10,721,018","$3,741,189","$862,531","$26,730,440","$5,550,025",319,"$243,088",17,336,"$121,859","$364,947","$115,602"
FY2013,Baccalaureate (All),Claremont McKenna College,"$7,599,933","$20,110,015","$477,059","$10,650","$7,000","$11,212,083","$11,706,792","$4,070,805","$848,266","$32,665,073","$6,862,816",287,"$162,943",9,296,"$6,550","$169,493","$80,352"
FY2014,Baccalaureate (All),Claremont McKenna College,"$8,451,806","$21,644,162","$1,049,247","$8,740","$7,500","$15,449,306","$16,514,793","$4,268,861","$1,045,689","$39,204,644","$9,767,749",281,"$188,539",17,298,"$277,126","$465,665","$90,070"
FY2015,Baccalaureate (All),Claremont McKenna College,"$14,501,674","$29,598,227","$554,727","$10,765","$7,500","$44,141,732","$44,714,724","$7,789,598","$2,297,054","$76,610,005","$42,248,920",226,"$136,370",13,239,"$292,816","$429,186","$82,857"
