Year,Comparison Group,Institution,Total Curr Ops/Restricted Total,Total Current Operations,"Total Cap Purp/Prop, Bldgs, Equip",Total Cap Purp/Endowment/Unrestricted,Total Cap Purp/Loan Funds,Total Cap Purp/Endow/Restricted/Outright,Total Capital Purposes (Outright Gifts Only),Total Deferred/Face Value ,Total Deferred/Present Value ,Grand Total ,Alumni: Total ,Athletics/Curr Ops: Donors (#),Athletics/Curr Ops: Total Amount ($),Athletics/Cap Purp: Donors (#),Athletics/Total: Donors (#),Athletics/Cap Purp: Total Amount ($),Athletics/Total: Total Amount ($),Alumni: Curr Ops/Athletics
FY2016,Baccalaureate (All),Claremont McKenna College,"$10,735,431","$20,552,652","$4,255,583","$3,900","$7,000","$27,080,678","$31,347,161","$6,064,083","$1,518,230","$53,418,043","$29,706,399",,,,,,,"$83,519"
FY2011,Baccalaureate (All),Harvey Mudd College,"$16,178,757","$18,556,805","$64,252","$2,050",$0,"$4,733,206","$4,799,508",$0,$0,"$23,356,313","$1,646,649",,,,,,,$350
FY2012,Baccalaureate (All),Harvey Mudd College,"$3,871,968","$7,045,277","$1,968,486",$450,$0,"$2,071,637","$4,040,573",$0,$0,"$11,085,850","$1,858,074",,,,,,,$220
FY2013,Baccalaureate (All),Harvey Mudd College,"$20,912,803","$24,300,051","$13,458,107",$850,$0,"$2,863,410","$16,322,367",$0,$0,"$40,622,418","$3,391,344",0,$0,0,0,$0,$0,$436
FY2014,Baccalaureate (All),Harvey Mudd College,"$3,492,159","$7,641,181","$1,079,894","$106,530",$0,"$5,813,905","$7,000,329","$2,750",$921,"$14,642,431","$4,906,478",,,,,,,$300
FY2015,Baccalaureate (All),Harvey Mudd College,"$3,176,399","$9,928,049","$1,914,096","$1,895",$0,"$4,407,842","$6,323,833","$3,583","$1,245","$16,253,127","$3,172,705",,,,,,,$150
FY2016,Baccalaureate (All),Harvey Mudd College,"$4,339,241","$7,392,131","$1,303,040","$18,885",$0,"$7,488,275","$8,810,200","$408,123","$280,939","$16,483,270","$3,021,690",,,,,,,$650
FY2011,Baccalaureate (All),Pitzer College,"$1,133,859","$2,725,751","$2,134,989","$5,855",$0,"$424,543","$2,565,387",$0,$0,"$5,291,138","$757,448",4,"$2,160",,4,$0,"$2,160",$10
FY2012,Baccalaureate (All),Pitzer College,"$1,309,909","$3,319,863","$382,350","$10,250",$0,"$146,376","$538,976",$0,$0,"$3,858,839","$481,025",7,$650,0,7,$0,$650,$50
FY2013,Baccalaureate (All),Pitzer College,"$1,172,521","$3,086,535","$978,215",$300,$0,"$2,855,090","$3,833,605","$10,000","$3,636","$6,923,776","$529,935",0,$0,0,0,$0,$0,$250
FY2014,Baccalaureate (All),Pitzer College,"$1,273,429","$4,419,359","$244,717","$26,086",$0,"$302,420","$573,223",$0,$0,"$4,992,582","$703,992",5,"$14,148",0,5,$0,"$14,148",$220
FY2015,Baccalaureate (All),Pitzer College,"$1,482,620","$3,805,587","$7,685,316",$700,$0,"$2,899,765","$10,585,781","$10,000","$4,161","$14,395,529","$578,123",14,"$15,199",0,14,$0,"$15,199",$900
FY2016,Baccalaureate (All),Pitzer College,"$1,193,862","$3,672,058","$103,792",$100,$0,"$410,028","$513,920",$0,$0,"$4,185,978","$589,060",17,"$9,906",0,17,$0,"$9,906","$1,900"
FY2011,Baccalaureate (All),Pomona College,"$4,948,268","$12,042,880","$6,305,650",$0,$0,"$18,281,761","$24,587,411","$5,787,930","$1,367,932","$37,998,223","$21,881,549",3,$320,0,3,$0,$320,$0
FY2012,Baccalaureate (All),Pomona College,"$2,620,708","$14,477,667","$2,045,355","$20,000",$0,"$6,843,590","$8,908,945","$7,409,752","$1,549,069","$24,935,681","$15,158,625",0,$0,0,0,$0,$0,$50
FY2014,Baccalaureate (All),Pomona College,"$3,472,395","$9,535,490","$3,376,274",$108,$0,"$12,221,157","$15,597,539","$4,078,263","$1,095,563","$26,228,592","$11,290,837",0,$0,0,0,$0,$0,"$2,316"
FY2015,Baccalaureate (All),Pomona College,"$7,957,114","$13,994,257","$23,464,474",$0,$0,"$10,833,885","$34,298,359","$6,674,581","$1,704,344","$49,996,960","$35,382,139",0,$0,0,0,$0,$0,"$24,219"
FY2016,Baccalaureate (All),Pomona College,"$9,978,109","$15,480,282","$2,035,343","$83,836",$0,"$18,508,673","$20,627,852","$10,326,488","$3,390,235","$39,498,369","$24,855,341",0,$0,0,0,$0,$0,"$56,661"
FY2011,Baccalaureate (All),Scripps College,"$4,687,012","$7,840,920","$78,704",$425,$0,"$4,418,600","$4,497,729","$10,000","$7,981","$12,346,630","$7,478,067",0,$0,0,0,$0,$0,$0
FY2012,Baccalaureate (All),Scripps College,"$4,154,129","$6,091,418","$86,143",$0,$0,"$2,019,404","$2,105,547","$359,186","$166,448","$8,363,413","$3,245,712",0,$0,0,0,$0,$0,$0
FY2013,Baccalaureate (All),Scripps College,"$2,669,239","$4,542,348","$1,300,000",$150,$0,"$6,983,625","$8,283,775","$70,000","$43,770","$12,869,893","$9,425,581",,,,,,,$0
FY2014,Baccalaureate (All),Scripps College,"$3,633,366","$5,861,421","$1,403,564","$1,140,100",$0,"$2,053,100","$4,596,764","$309,169","$123,783","$10,581,968","$3,012,924",,,,,,,$0
FY2015,Baccalaureate (All),Scripps College,"$2,699,044","$5,044,428","$674,629","$1,090,493","$5,000","$7,695,179","$9,465,301",$0,$0,"$14,509,729","$2,287,920",,,,,,,$0
FY2016,Baccalaureate (All),Scripps College,"$2,939,629","$4,856,612","$573,600","$4,414,959",$0,"$4,407,271","$9,395,830",$0,$0,"$14,252,442","$3,128,627",,,,,,,$0
FY2011,Baccalaureate (All),Occidental College,"$4,823,117","$7,553,267","$2,524,465","$1,155,600",$0,"$2,136,038","$5,816,103",,"$224,661","$13,594,031","$3,450,207",,,,,,,
FY2012,Baccalaureate (All),Occidental College,"$4,722,724","$7,276,297","$5,746,892","$775,582",$500,"$4,827,215","$11,350,189",,"$902,891","$19,529,377","$7,889,147",,,,,,,
FY2013,Baccalaureate (All),Occidental College,"$3,729,815","$6,546,549","$6,046,510","$120,552",$0,"$4,926,041","$11,093,103","$1,670,772","$1,606,289","$19,245,941","$8,181,429","1,303","$525,153",2,"1,305","$25,050","$550,203","$230,696"
FY2014,Baccalaureate (All),Occidental College,"$4,227,683","$7,327,379","$3,888,937","$175,454",$250,"$5,918,186","$9,982,827","$850,446","$689,583","$17,999,789","$2,693,574","1,593","$596,187",11,"1,604","$154,155","$750,342","$225,421"
FY2015,Baccalaureate (All),Occidental College,"$3,895,493","$6,932,001","$4,059,410","$627,701",$0,"$9,527,351","$14,214,462","$4,426,437","$2,759,346","$23,905,809","$8,896,907","1,277","$425,415",53,"1,330","$2,568,376","$2,993,791","$171,594"
FY2016,Baccalaureate (All),Occidental College,"$5,186,170","$8,080,946","$6,434,290","$433,221",$30,"$9,812,081","$16,679,622","$490,542","$236,066","$24,996,634","$9,426,997",446,"$272,339",68,514,"$1,866,547","$2,138,886","$135,410"
FY2011,Baccalaureate (All),Pacific Union College,"$719,156","$4,518,230","$25,000",$675,"$149,810","$85,573","$261,058",,"$628,715","$5,408,003","$789,217",,,,,,,
FY2012,Baccalaureate (All),Pacific Union College,"$518,304","$4,204,766","$152,711",$0,"$30,550","$184,233","$367,494",,"$158,952","$4,731,212","$754,224",,,,,,,
FY2011,Baccalaureate (All),Westmont College,"$2,753,484","$7,169,640","$2,398,472","$95,721",$680,"$937,287","$3,432,160","$40,000","$21,669","$10,623,469","$1,997,074",426,"$744,992",34,460,"$52,465","$797,457","$8,200"
FY2012,Baccalaureate (All),Westmont College,"$2,603,286","$6,167,373","$2,120,769","$11,755",$480,"$1,818,435","$3,951,439","$30,300","$17,597","$10,136,409","$2,366,321",484,"$658,341",53,537,"$77,306","$735,647","$11,789"
FY2013,Baccalaureate (All),Westmont College,"$3,561,668","$6,701,719","$2,555,968","$17,370",$480,"$2,103,174","$4,676,992","$243,274","$150,460","$11,529,171","$3,056,001",497,"$706,772",32,529,"$19,300","$726,072","$17,791"
FY2014,Baccalaureate (All),Westmont College,"$3,814,314","$5,730,398","$3,298,075","$46,211","$13,025","$1,400,274","$4,757,585","$925,000","$481,957","$10,969,940","$2,457,265",820,"$674,793",13,833,"$29,705","$704,498","$29,553"
FY2015,Baccalaureate (All),Westmont College,"$7,013,964","$8,895,590","$1,629,988","$6,583",$440,"$1,584,016","$3,221,027","$57,000","$25,168","$12,141,785","$1,874,078",441,"$627,822",35,476,"$25,482","$653,304","$28,130"
FY2016,Baccalaureate (All),Westmont College,"$12,673,751","$13,944,801","$1,056,672","$12,010,903",$480,"$1,176,578","$14,244,633","$15,440,000","$12,153,221","$40,342,655","$5,577,361",511,"$634,859",56,567,"$85,800","$720,659","$53,350"
FY2011,Baccalaureate (All),Whittier College,"$1,760,713","$3,340,217","$1,696,569","$50,055",$0,"$2,784,725","$4,531,349",$0,$0,"$7,871,566","$2,364,333",,,,,,,"$125,449"
FY2012,Baccalaureate (All),Whittier College,"$2,023,573","$3,681,398","$720,154",$0,$0,"$3,313,368","$4,033,522","$488,683","$178,820","$7,893,740","$1,673,281",,,,,,,"$91,353"
FY2013,Baccalaureate (All),Whittier College,"$1,861,632","$3,586,066","$527,389","$20,000",$0,"$1,279,846","$1,827,235","$50,000","$9,621","$5,422,922","$2,365,477",,,,,,,"$105,852"
FY2014,Baccalaureate (All),Whittier College,"$2,470,860","$4,259,745","$3,296,176","$2,796",$0,"$756,301","$4,055,273","$105,513","$44,697","$8,359,715","$2,930,874",,,,,,,"$104,734"
FY2015,Baccalaureate (All),Whittier College,"$1,956,347","$3,693,765","$3,714,701",$0,$0,"$441,481","$4,156,182","$250,000","$117,728","$7,967,675","$2,252,504",,,,,,,$105
FY2016,Baccalaureate (All),Whittier College,"$3,338,813","$5,266,794","$4,934,611",$0,$0,"$658,240","$5,592,851","$97,010","$47,261","$10,906,906","$3,072,645",,,,,,,"$2,525"
FY2011,Baccalaureate (All),Colorado College,"$5,464,966","$7,189,910","$2,040,059","$298,796",$0,"$6,008,850","$8,347,705","$72,500","$24,967","$15,562,582","$3,476,435",501,"$153,558",85,586,"$74,033","$227,591","$61,572"
FY2012,Baccalaureate (All),Colorado College,"$4,978,349","$8,959,925","$3,690,969","$2,054,032",$0,"$6,163,934","$11,908,935",$0,$0,"$20,868,860","$3,336,327",332,"$123,798",78,410,"$98,049","$221,847","$24,362"
FY2013,Baccalaureate (All),Colorado College,"$3,180,897","$6,138,148","$1,391,356","$1,844,348",$0,"$5,145,390","$8,381,094","$119,783","$60,865","$14,580,107","$3,226,287",289,"$118,172",57,346,"$72,636","$190,808","$20,074"
FY2014,Baccalaureate (All),Colorado College,"$4,891,817","$10,426,453","$1,719,587","$554,857",$0,"$5,940,912","$8,215,356","$10,000","$6,295","$18,648,104","$4,379,875",636,"$248,058",67,703,"$36,581","$284,639","$54,977"
FY2015,Baccalaureate (All),Colorado College,"$4,221,958","$7,882,361","$2,630,108","$413,350",$0,"$8,657,606","$11,701,064",$0,$0,"$19,583,425","$3,879,217",371,"$212,255",49,420,"$24,415","$236,670","$41,737"
FY2016,Baccalaureate (All),Colorado College,"$4,077,593","$8,971,406","$2,230,487","$418,250",$0,"$6,919,286","$9,568,023","$119,644","$3,534","$18,542,963","$3,960,433",478,"$238,697",44,522,"$26,964","$265,661","$61,746"
FY2012,Baccalaureate (All),Fort Lewis College,"$1,715,962","$1,828,452","$5,209",$0,$0,"$235,561","$240,770",,$0,"$2,069,222","$539,878",,,,,,,
FY2013,Baccalaureate (All),Fort Lewis College,"$1,775,694","$2,043,518",$63,$0,$0,"$279,786","$279,849",,$0,"$2,323,367","$176,615",,,,,,,
FY2014,Baccalaureate (All),Fort Lewis College,"$1,370,461","$1,540,905","$53,950",$0,$0,"$158,632","$212,582",,$0,"$1,753,487","$261,597",,,,,,,
FY2016,Baccalaureate (All),Fort Lewis College,"$1,982,992","$2,049,227","$260,620",$0,$0,"$1,702,839","$1,963,459",,$0,"$4,012,686","$345,435",,,,,,,
FY2011,Baccalaureate (All),Connecticut College,"$3,549,689","$7,288,606","$3,750,801","$96,830",$0,"$3,376,434","$7,224,065","$603,215","$448,641","$14,961,312","$7,577,672",148,"$286,829",1,149,"$575,000","$861,829","$27,878"
FY2012,Baccalaureate (All),Connecticut College,"$4,681,372","$7,780,740","$7,037,049","$12,200",$0,"$2,271,086","$9,320,335","$392,609","$184,223","$17,285,298","$7,855,520",209,"$256,920",3,212,"$624,694","$881,614","$22,140"
FY2013,Baccalaureate (All),Connecticut College,"$4,231,464","$7,534,912","$8,818,847","$8,100",$0,"$2,403,972","$11,230,919","$1,148,430","$934,067","$19,699,898","$6,847,217",152,"$222,159",1,153,"$582,000","$804,159","$39,129"
FY2014,Baccalaureate (All),Connecticut College,"$5,430,273","$8,742,070","$3,642,371","$256,100",$0,"$9,559,388","$13,457,859","$488,274","$362,524","$22,562,453","$9,875,068",309,"$208,507",2,311,"$576,333","$784,840","$53,727"
FY2015,Baccalaureate (All),Connecticut College,"$4,851,291","$8,416,110","$2,742,955","$58,557",$0,"$7,915,692","$10,717,204","$514,143","$364,978","$19,498,292","$9,219,383",463,"$450,892",3,466,"$11,533","$462,425","$63,142"
FY2016,Baccalaureate (All),Connecticut College,"$5,462,476","$9,128,775","$2,509,298","$488,110",$0,"$6,088,252","$9,085,660","$264,207","$234,748","$18,449,183","$7,953,123",579,"$381,759",2,581,"$8,834","$390,593","$136,827"
FY2011,Baccalaureate (All),Trinity College,"$5,687,078","$14,450,733","$1,856,797","$769,812",$0,"$6,980,109","$9,606,718","$1,520,998","$663,421","$24,720,872","$13,047,378","1,010","$835,448",35,"1,045","$476,272","$1,311,720","$380,174"
FY2012,Baccalaureate (All),Trinity College,"$4,161,932","$12,671,155","$1,914,735","$2,907,667",$0,"$17,169,767","$21,992,169","$534,345","$191,286","$34,854,610","$17,361,481",982,"$958,344",36,"1,018","$1,313,842","$2,272,186","$390,760"
FY2013,Baccalaureate (All),Trinity College,"$4,662,584","$13,071,805","$944,268","$678,291",$0,"$7,699,584","$9,322,143","$211,741","$61,891","$22,455,839","$9,942,858",923,"$1,049,209",27,950,"$403,480","$1,452,689","$372,128"
FY2014,Baccalaureate (All),Trinity College,"$4,786,043","$13,542,312","$1,293,282","$7,885,640",$0,"$9,491,270","$18,670,192","$964,805","$337,943","$32,550,447","$10,372,986","1,193","$1,092,759",66,"1,259","$490,282","$1,583,041","$494,600"
FY2015,Baccalaureate (All),Trinity College,"$6,578,647","$15,313,944","$986,628","$99,210",$0,"$10,986,865","$12,072,703","$99,239","$41,015","$27,427,662","$13,217,066","1,125","$871,412",39,"1,164","$300,959","$1,172,371","$397,714"
FY2016,Baccalaureate (All),Trinity College,"$5,329,196","$13,550,484","$1,864,268","$208,167",$0,"$6,545,431","$8,617,866","$290,557","$89,878","$22,258,228","$10,304,157","1,417","$947,264",37,"1,454","$199,148","$1,146,412","$488,213"
